"name","statistic (val)","pvalue (val)","statistic (iter)","pvalue (iter)"
abalone,46.0,0.3956683900503302,43.5,0.3249508432726316
artificial-characters,26.0,0.03783078607194352,47.0,0.4249697048969556
balance-scale,0.0,8.930724418684081e-05,48.0,0.45486094457277765
breast-tissue,0.0,9.133589555477501e-05,47.5,0.4398921505284963
car,49.0,0.4849249884965778,34.0,0.12030653785531809
cardiotocography,34.0,0.12066079650859002,36.0,0.15374472830934066
cmc,27.0,0.04448650585090664,36.0,0.15365376636235417
cnae-9,18.0,0.008628728041559883,39.5,0.22467534888194385
collins,45.0,0.3668649978481236,46.5,0.4102315494191477
covertype,10.0,0.0014136360455584039,47.0,0.42502551244863873
desharnais,9.0,0.000998433276441516,44.5,0.35267568603175237
diggle_table_a2,46.0,0.3956683900503302,37.5,0.18199259743545926
ecoli,0.0,9.082557304573249e-05,42.5,0.29821248072862516
energy-efficiency,34.0,0.12066079650859002,15.5,0.005054285964439421
eye_movements,36.0,0.15374472830934066,39.5,0.22467534888194385
fabert,10.0,0.0008573124899734856,39.0,0.175714550579799
fars,0.0,9.133589555477501e-05,36.0,0.15356273739136644
Fashion-MNIST,25.0,0.032011050641513446,10.0,0.0014084528140968727
gas-drift,8.0,0.0008531246844597982,33.5,0.11297593015667973
gas-drift-different-concentrations,29.0,0.06061225150645831,47.0,0.42502551244863873
gina_prior2,11.0,0.0018052571561648014,43.0,0.31145735104705063
glass,0.0,9.082557304573249e-05,49.0,0.4849022788860054
har,20.0,0.012874040410554032,35.0,0.13651816987559418
hayes-roth,30.0,0.06978453282269872,34.0,0.12066079650859002
heart-long-beach,16.0,0.005664848342237332,45.0,0.36647812030054766
heart-switzerland,30.0,0.07023252407917747,47.5,0.43986969591458647
helena,38.0,0.19233653136775436,43.5,0.3249508432726316
Indian_pines,30.0,0.07023252407917747,41.5,0.27244787233428047
iris,-1,-1,27.0,0.041542094427088304
jannis,35.0,0.13651816987559418,43.0,0.31145735104705063
JapaneseVowels,26.0,0.03783078607194352,37.5,0.18208286732008583
jungle_chess_2pcs_endgame_panther_elephant,25.0,0.00730347106010808,1.0,0.00012174335714866438
jungle_chess_2pcs_raw_endgame_complete,34.0,0.12066079650859002,47.0,0.42491377254495055
leaf,43.0,0.3115881119410587,18.0,0.008586830498033986
LED-display-domain-7digit,2.0,0.00016491926038899677,36.0,0.15356273739136644
mfeat-factors,31.0,0.08098620524006306,44.5,0.3525699015067423
mfeat-fourier,35.0,0.13651816987559418,32.0,0.09269007167775994
mfeat-karhunen,14.0,0.00364227850473983,44.0,0.3386779729030972
mfeat-morphological,47.0,0.42505336956926293,35.5,0.14486853141106892
mfeat-pixel,48.0,0.45486094457277765,48.5,0.46982617293653633
microaggregation2,25.0,0.032011050641513446,34.5,0.12824068326368865
nursery,34.0,0.12066079650859002,42.5,0.2981433107864735
page-blocks,0.0,9.133589555477501e-05,47.5,0.43984721611720096
pokerhand,24.0,0.026951278584693587,48.0,0.4548271126400856
PopularKids,27.0,0.044426454239524814,44.0,0.3386779729030972
prnn_fglass,29.0,0.06033231821751136,43.5,0.3244567311076058
prnn_viruses,35.0,0.038791648742565764,24.0,0.026725923112053882
rmftsa_sleepdata,33.0,0.10614691809616578,41.0,0.25978970651570954
robot-failures-lp1,9.0,0.0008470996587719184,39.5,0.22467534888194385
robot-failures-lp5,12.0,0.002293196040126747,48.5,0.4698375225718726
satimage,0.0,9.133589555477501e-05,29.5,0.06514034876426138
seeds,45.0,0.365346788382636,26.0,0.03761083267406863
segment,3.0,0.00021981937631328227,39.5,0.22458995686364547
seismic-bumps,0.0,6.748340454864083e-05,45.0,0.36672031294839225
semeion,0.0,9.133589555477501e-05,41.5,0.27244787233428047
shuttle,17.0,0.006357167164419588,44.0,0.33879247897623777
spectrometer,23.0,0.022536893158116134,47.5,0.4397796251524991
steel-plates-fault,44.0,0.33879247897623777,38.5,0.2027511500649954
synthetic_control,-1,-1,46.0,0.39524434627911254
tae,9.0,0.0011011099712485391,28.0,0.051924790898487144
tamilnadu-electricity,48.0,0.45444986940149457,49.0,0.4849193207024165
teachingAssistant,8.0,0.0008531246844597982,26.0,0.03744590341511262
thyroid-allbp,37.0,0.1723521110034788,41.0,0.260104502890281
thyroid-allhyper,38.0,0.19233653136775436,30.0,0.07000863254399659
user-knowledge,13.0,0.0028427787928831704,43.5,0.32470430842540254
vehicle,36.0,0.15374472830934066,44.5,0.3525699015067423
vertebra-column,12.0,0.0022855542308096084,28.0,0.051989872229493375
volcanoes-a1,46.0,0.3956683900503302,49.5,0.5
volcanoes-a3,26.0,0.0377757927648433,29.0,0.06047231621499348
volcanoes-a4,29.0,0.06061225150645831,40.0,0.23608777532022296
volcanoes-d1,37.0,0.17198879328001915,44.5,0.3521978549189131
wall-robot-navigation,29.0,0.06061225150645831,49.5,0.5
waveform-5000,28.0,0.05205494483011341,46.0,0.3955147886490878
wine,41.5,0.27252360124059083,40.0,0.2357533196687387
wine-quality-white,19.0,0.01056696406458055,35.0,0.13642798424356428
zoo,40.0,0.08403915951748514,28.5,0.05559700402954738
