"name","best_incubment","achieved_iteration"
page-blocks,0.1572831335432724,42
robot-failures-lp1,0.14102564102564108,33
mfeat-fourier,0.1475854394148598,2
jungle_chess_2pcs_raw_endgame_complete,0.2719523672987666,27
heart-switzerland,0.6858119658119658,91
gas-drift-different-concentrations,0.01891421038359764,77
wall-robot-navigation,0.01529599728237685,57
jungle_chess_2pcs_endgame_panther_elephant,0.0,88
leaf,0.36017355660212813,73
PopularKids,0.06352989828599576,40
mfeat-karhunen,0.014079861405182248,20
diggle_table_a2,0.9743589743589743,84
rmftsa_sleepdata,0.9278268809884568,27
semeion,0.05376620700232804,28
desharnais,0.2667332667332668,86
teachingAssistant,0.4071969696969696,44
collins,0.8884880528144286,38
volcanoes-a3,0.7689402697495183,61
artificial-characters,0.3613704595813323,30
volcanoes-a4,0.7972789115646258,51
glass,0.5231009070294785,68
nursery,0.04052981019439761,61
shuttle,0.0,30
segment,0.02531199490574576,62
heart-long-beach,0.652975912975913,91
vertebra-column,0.20623124372223145,80
cnae-9,0.034818671429924564,26
jannis,0.9999969017034435,10
wine-quality-white,0.750911817087637,40
vehicle,0.34988621629488503,36
ecoli,0.24709595959595954,58
eye_movements,0.5769399013962551,16
seeds,0.11004901960784308,96
car,0.13424741140312846,74
fabert,0.8754012841091493,0
breast-tissue,0.6674242424242425,64
thyroid-allbp,0.5548263021310648,81
gas-drift,0.011142829995818726,81
mfeat-factors,0.08802270506646293,53
volcanoes-d1,0.7974875207986689,10
har,0.013956849985395814,39
satimage,0.10895145985989307,73
Fashion-MNIST,0.1732567305672541,47
seismic-bumps,0.03781821523757012,34
pokerhand,0.28102343233242333,84
helena,1.0,0
thyroid-allhyper,0.5208075903466287,14
wine,0.9846153846153847,99
balance-scale,0.07249605495219524,46
microaggregation2,0.5627566824728257,44
steel-plates-fault,0.7677201034057892,61
tae,0.3234408602150539,22
mfeat-pixel,0.5312663695353331,92
gina_prior2,0.08624343753649555,81
synthetic_control,0.0,7
cmc,0.4217043857598791,12
energy-efficiency,0.8637585814858542,22
iris,0.0,2
fars,0.4350632170299382,22
abalone,0.6296727096012757,95
prnn_viruses,0.0,62
Indian_pines,0.5687291627863662,4
covertype,0.4420032958440877,5
JapaneseVowels,1.0,0
user-knowledge,0.1050103519668737,29
spectrometer,1.0,0
hayes-roth,0.12222222222222212,34
robot-failures-lp5,0.2971834250941756,59
prnn_fglass,0.3836808236808237,27
waveform-5000,0.12700439195696356,27
zoo,0.0,12
cardiotocography,0.06492996280208396,96
mfeat-morphological,0.5482421206646882,6
volcanoes-a1,0.8019336485603352,98
tamilnadu-electricity,0.0755314544908181,40
LED-display-domain-7digit,0.21607382867705938,44
