"name","best_incubment_posterior","achieved_iteration_posterior"
abalone,0.6207351879252487,99
artificial-characters,0.3598330107797426,77
balance-scale,0.02827846813241224,91
breast-tissue,0.6086918636918637,96
car,0.16243913101496316,97
cardiotocography,0.10327689139570051,85
cmc,0.44954138421509154,95
cnae-9,0.04282385630261483,99
collins,0.8813106037082383,94
covertype,0.4246853261465756,87
desharnais,0.20114454654309727,94
diggle_table_a2,0.9795130169154224,91
ecoli,0.3163316393963809,83
energy-efficiency,0.805047244192569,99
eye_movements,0.5558344876982456,88
fabert,0.8337679638890446,85
fars,0.5536497492518739,95
Fashion-MNIST,0.17625908674980378,97
gas-drift,0.0161137549628551,95
gas-drift-different-concentrations,0.012025636809062944,91
gina_prior2,0.08084209641898632,97
glass,0.4081753351344609,88
har,0.018236948441473853,98
hayes-roth,0.12977528107456612,84
heart-long-beach,0.6379492902067947,91
heart-switzerland,0.6953038641795858,92
helena,0.9762584929723648,87
Indian_pines,0.5222900193258982,98
iris,0.0,21
jannis,0.9999949120015931,86
JapaneseVowels,0.6079964359459699,99
jungle_chess_2pcs_endgame_panther_elephant,0.0,25
jungle_chess_2pcs_raw_endgame_complete,0.27936388546360585,97
leaf,0.40962899106002554,92
LED-display-domain-7digit,0.24815408565298167,97
mfeat-factors,0.06053373828048423,96
mfeat-fourier,0.1654558116809039,98
mfeat-karhunen,0.028159451822638636,87
mfeat-morphological,0.5575497230838617,90
mfeat-pixel,0.5597959202824287,83
microaggregation2,0.5816731240940771,97
nursery,0.061483237305924324,80
page-blocks,0.17457611484964325,92
pokerhand,0.24886846576788696,81
PopularKids,0.06012859557176129,84
prnn_fglass,0.3577843022764862,99
prnn_viruses,0.0,21
rmftsa_sleepdata,0.8970943626058208,92
robot-failures-lp1,0.013333333333333319,63
robot-failures-lp5,0.31991536528010245,93
satimage,0.09837567310278647,71
seeds,0.06205781791685011,86
segment,0.030969414696502405,75
seismic-bumps,0.0510471348244584,74
semeion,0.042417637353081475,89
shuttle,0.003643795721823917,82
spectrometer,0.9583669060125217,93
steel-plates-fault,0.7585113444665512,99
synthetic_control,0.0,17
tae,0.36410953612768193,74
tamilnadu-electricity,0.051307682059697005,94
teachingAssistant,0.38484487698620196,88
thyroid-allbp,0.5560058002623417,97
thyroid-allhyper,0.5121464197314757,85
user-knowledge,0.140969245986393,91
vehicle,0.3800742011398082,92
vertebra-column,0.18323648228726622,77
volcanoes-a1,0.7909946678290233,82
volcanoes-a3,0.7928259101135661,96
volcanoes-a4,0.7826323129510018,99
volcanoes-d1,0.7988570800009016,80
wall-robot-navigation,0.018615250235651516,99
waveform-5000,0.13523564954603046,77
wine,0.976808965652852,89
wine-quality-white,0.7801196892884702,96
zoo,0.03478991596638655,99
